Epoch 1, Avg Loss: 0.0318
Epoch 2, Avg Loss: 0.0310
Epoch 3, Avg Loss: 0.0307
Epoch 4, Avg Loss: 0.0301
Epoch 5, Avg Loss: 0.0303
Epoch 6, Avg Loss: 0.0307
Epoch 7, Avg Loss: 0.0303
Epoch 8, Avg Loss: 0.0300
Epoch 9, Avg Loss: 0.0300
Epoch 10, Avg Loss: 0.0300
Epoch 11, Avg Loss: 0.0306
Epoch 12, Avg Loss: 0.0301
Epoch 13, Avg Loss: 0.0303
Epoch 14, Avg Loss: 0.0300
Epoch 15, Avg Loss: 0.0300
Epoch 16, Avg Loss: 0.0299
Epoch 17, Avg Loss: 0.0300
Epoch 18, Avg Loss: 0.0300
Epoch 19, Avg Loss: 0.0300
Epoch 20, Avg Loss: 0.0300
Epoch 21, Avg Loss: 0.0301
Epoch 22, Avg Loss: 0.0296
Epoch 23, Avg Loss: 0.0301
Epoch 24, Avg Loss: 0.0299
Epoch 25, Avg Loss: 0.0304
Epoch 26, Avg Loss: 0.0301
Epoch 27, Avg Loss: 0.0298
Epoch 28, Avg Loss: 0.0302
Epoch 29, Avg Loss: 0.0298
Epoch 30, Avg Loss: 0.0298
Epoch 31, Avg Loss: 0.0301
Epoch 32, Avg Loss: 0.0299
Epoch 33, Avg Loss: 0.0300
Epoch 34, Avg Loss: 0.0297
Epoch 35, Avg Loss: 0.0297
Epoch 36, Avg Loss: 0.0303
Epoch 37, Avg Loss: 0.0295
Epoch 38, Avg Loss: 0.0301
Epoch 39, Avg Loss: 0.0294
Epoch 40, Avg Loss: 0.0299
Epoch 41, Avg Loss: 0.0297
Epoch 42, Avg Loss: 0.0301
Epoch 43, Avg Loss: 0.0296
Epoch 44, Avg Loss: 0.0298
Epoch 45, Avg Loss: 0.0296
Epoch 46, Avg Loss: 0.0297
Epoch 47, Avg Loss: 0.0295
Epoch 48, Avg Loss: 0.0299
Epoch 49, Avg Loss: 0.0292
Epoch 50, Avg Loss: 0.0293
Epoch 51, Avg Loss: 0.0296
Epoch 52, Avg Loss: 0.0298
Epoch 53, Avg Loss: 0.0303
Epoch 54, Avg Loss: 0.0299
Epoch 55, Avg Loss: 0.0295
Epoch 56, Avg Loss: 0.0295
Epoch 57, Avg Loss: 0.0296
Epoch 58, Avg Loss: 0.0300
Epoch 59, Avg Loss: 0.0296
Epoch 60, Avg Loss: 0.0296
Epoch 61, Avg Loss: 0.0293
Epoch 62, Avg Loss: 0.0301
Epoch 63, Avg Loss: 0.0296
Epoch 64, Avg Loss: 0.0297
Epoch 65, Avg Loss: 0.0299
Epoch 66, Avg Loss: 0.0296
Epoch 67, Avg Loss: 0.0299
Epoch 68, Avg Loss: 0.0301
Epoch 69, Avg Loss: 0.0299
Epoch 70, Avg Loss: 0.0297
Epoch 71, Avg Loss: 0.0298
Epoch 72, Avg Loss: 0.0295
Epoch 73, Avg Loss: 0.0299
Epoch 74, Avg Loss: 0.0297
Epoch 75, Avg Loss: 0.0299
Epoch 76, Avg Loss: 0.0296
Epoch 77, Avg Loss: 0.0303
Epoch 78, Avg Loss: 0.0297
Epoch 79, Avg Loss: 0.0293
Epoch 80, Avg Loss: 0.0296
Epoch 81, Avg Loss: 0.0301
Epoch 82, Avg Loss: 0.0295
Epoch 83, Avg Loss: 0.0294
Epoch 84, Avg Loss: 0.0299
Epoch 85, Avg Loss: 0.0302
Epoch 86, Avg Loss: 0.0301
Epoch 87, Avg Loss: 0.0296
Epoch 88, Avg Loss: 0.0301
Epoch 89, Avg Loss: 0.0300
Epoch 90, Avg Loss: 0.0295
Epoch 91, Avg Loss: 0.0297
Epoch 92, Avg Loss: 0.0295
Epoch 93, Avg Loss: 0.0296
Epoch 94, Avg Loss: 0.0299
Epoch 95, Avg Loss: 0.0297
Epoch 96, Avg Loss: 0.0298
Epoch 97, Avg Loss: 0.0300
Epoch 98, Avg Loss: 0.0298
Epoch 99, Avg Loss: 0.0296
Epoch 100, Avg Loss: 0.0302
